PROCESSED,BASE_PATH,REDIRECT,REDIRECT_TYPE,410 (GONE),404 (NOT FOUND),LOCALE,DOCUMENT_TYPE,CONTENT_ID
,/dna-testing-parentage-disagreements,/get-dna-test,prefix,,,en,answer,72ba16ee-d6e4-44f1-9a0e-1aa81b320c64
,/done-apply-queens-award-enterprise,,prefix,410,,en,completed_transaction,c3cd8556-4a95-4c6d-ab2d-d1f6cd280d37
,/done/pay-register-birth-abroad,,prefix,410,,en,completed_transaction,828aa660-fb3a-43c3-a60c-3e3e4ba31435
,/done/pay-register-death-abroad,,prefix,410,,en,completed_transaction,842feeca-d970-4091-9ae2-4ad2817b1e0c
,/dotherightthing,/report-benefit-fraud,exact,,,en,campaign,950f73cd-bf4c-4cc5-b4c8-f0f3da03664f
,/driver-certificate-of-professional-competence-cpc,/become-lorry-bus-driver,exact,,,,placeholder,2a14c098-3f5a-4ccb-a730-f2e2f6879071
,/driver-cpc-starting-up-approved-training-centre,/guidance/set-up-a-driver-cpc-training-centre,prefix,,,en,placeholder,bcae6ec5-3653-47b8-aee5-2beae2103b59
,/driving-before-you-have-full-licence,/driving-lessons-learning-to-drive,exact,,,,placeholder,0b5164f0-b58d-460e-880f-c19277ac9842
,/driving-instructor-training,/find-driving-instructor-training,exact,,,en,transaction,f2ac8d97-6588-4c79-a97e-3197feb5cd2b
,/driving-lessons-who-can-teach-you,/driving-lessons-learning-to-drive,exact,,,,placeholder,30e4c850-da5b-469d-bc33-c85530f21144
,/driving-licences-private-hire-taxis,/taxi-driver-licence,prefix,,,en,placeholder,d6fcbdb2-446a-4ef2-9745-e0cf9d923052
,/driving-licences-private-hire-taxis-london,/taxi-driver-licence,prefix,,,en,placeholder,00a34dc2-2524-413e-8faa-05b331151fa9
,/driving-theory-test,/theory-test,prefix,,,en,placeholder,a5eba3ad-c379-41e7-95bc-c04eedb05c6b
,/driving-theory-test-centre,/find-theory-test-centre,prefix,,,en,placeholder,60bac97f-9f88-4223-bd08-6c083b45e068
,/driving-transaction-finished,/done/driving-transaction-finished,prefix,,,en,completed_transaction,3f2e2767-bbc2-4204-8da8-86eda45bb4a4
,/dsa-theory-test-booking-service-data-protection,,,,404,en,answer,36e12e71-6550-4608-8baf-c76e88395868
,/dvla-medical-enquiries,/contact-the-dvla,exact,,,en,placeholder,e6dc36a3-379e-4d94-a1b6-14f433cb92e4
,/dvsa-practical-test-booking-data-protection,/dvsa-driving-test-booking-service-data-protection,prefix,,,en,placeholder,f536acea-cd35-4137-835f-450bed52f940
,/dvsa-practical-test-business-service,/book-pupil-driving-test,exact,,,en,transaction,bd6efcbd-2d66-4b7a-a029-76ac54f2d0c3
,/dvsa-taxi-driving-test,/taxi-driver-licence,prefix,,,en,answer,6529ba5a-574a-4a7a-9c3e-37fc8afc569c
,/e-commerce-grant,,prefix,410,,en,business_support,0894a460-a9b8-466e-8fca-a574869ed795
,/employers-additional-paternity-pay-leave,/shared-parental-leave-and-pay-employer-guide,prefix,,,en,placeholder,787da856-06e5-41e7-a62f-c20af2e96782
,/employment-allowance,/claim-employment-allowance,exact,,,en,placeholder,390dce45-ebc1-41d3-9a7d-44fb08de30d8
,/employment-tribunals-enquiries,/courts-tribunals/employment-tribunal,prefix,,,en,placeholder,1ceac08a-46f8-49e7-b89f-85c8492221bd
,/empty-shop-refit-scheme-middlesbrough,/business-finance-support-finder,prefix,,,en,business_support,9682ee55-70b8-44f8-a8ee-9653a252fe3c
,/energy-environment-fund,,prefix,410,,en,business_support,9e79da98-fafa-4347-9318-c202c17d89ea
,/enhanced-capital-allowances-energy-water,/capital-allowances/first-year-allowances,exact,,,,placeholder,3b7fcc72-e22a-4e23-a7d6-0c4e8e6551d9
,/enterprise-as-a-life,/business-finance-support-finder,prefix,,,en,business_support,c960f194-0fe9-44e9-b12d-f072762b04a2
,/enterprise-europe-network-yorkshire,/business-finance-support-finder/search,prefix,,,en,business_support,84c3a960-813b-43c4-acbd-346a4906fb4e
,/enterprise-northern-ireland-craigavon,/business-finance-support-finder,prefix,,,en,business_support,3e681df1-b04f-4c0e-bad3-6773ba3b9767
,/enterprise-northern-ireland-moyle,/business-finance-support-finder,prefix,,,en,business_support,438cd3a4-2e35-4f79-8909-8fdab69e80f5
,/enterprising-worcestershire,/business-finance-support-finder/search,prefix,,,en,business_support,a918ce3c-6c0a-446c-8344-dd0e0573d41e
,/entertainer-visitor-visa,/standard-visitor-visa,exact,,,,placeholder,2da3c2f5-962a-47a3-8388-e53d1ddacea4
,/environmental-permit-check-if-you-need-one,/guidance/check-if-you-need-an-environmental-permit,prefix,,,en,placeholder,95fe8dea-61d8-42c5-9e98-ef0211b89aa2
,/environmental-permit-how-to-apply,/topic/environmental-management/environmental-permits,prefix,,,en,placeholder,883cc806-a725-4a37-986c-a9e1c0cecfc4
,/erdf-business-grant-programme,,prefix,410,,en,business_support,ff460f8c-1a8f-47dc-8cca-99db248db9d1
,/eureka-moment,,prefix,410,,,placeholder,3e1343d4-ac2c-41cf-a1e6-2d6b6c945e45
,/european-fisheries-fund-wales,,prefix,410,,en,business_support,b6233470-c02a-4da4-b17d-26e5a4423a6f
,/events-finder,,exact,410,,en,placeholder,dfa6ae57-a204-4782-ab95-99572358fc07
,/exchange-tax-disc,/change-vehicle-tax-class,prefix,,,en,placeholder,48832968-2926-464b-927a-bd44f52ee30c
,/excise-movement-and-control-system,/guidance/excise-movement-and-control-system-how-to-register-and-use,exact,,,en,transaction,ec20bf7c-c20a-4f2d-98f9-5875440abb19
,/existing-business-support-southwark,/business-finance-support-finder/search,prefix,,,,placeholder,74804f71-f67e-4905-94ae-50e66a65e8f8
,/export-agents,,prefix,410,,en,answer,7662e1d1-08e0-48ec-a4ea-4feb9b748d48
,/export-licence-for-cultural-goods,/guidance/export-art-antiques-and-cultural-goods-special-rules,prefix,,,en,licence,4e630dc2-a654-4e23-9f63-c6e0c094c87c
,/family-separation-support,/family-separation-support,exact,,,en,campaign,9eb13db9-2bb3-4a4b-b544-b98adaf7ebcb
